material_id,pretty_formula,band_gap
mp-1068559,LaCoSi3,0.0
mp-1079802,YNiGe2,0.0
mp-1101139,Th2CuTe6,0.0
mp-1103353,YGaPt,0.0
mp-1103785,Pr3Al11,0.0
mp-1114640,KRb2AsF6,4.593999999999999
mp-11525,TmNi,0.0
mp-11755,Lu6Sb2Mo,0.0
mp-1186602,PmNdHg2,0.0
mp-1188677,YbGe2Pt,0.0
mp-1189258,Y6PtI10,0.7681
mp-1189639,Th3Ni3Sn4,0.0
mp-1189871,Zr5Sn3N,0.0
mp-1192364,HgTe2(OF5)2,2.4806
mp-1192415,Yb(TmS2)2,1.4918
mp-1192640,Na2Nb4Se4O19,2.4028
mp-1195999,Cs2CdP2O7,3.3539
mp-1196390,CuSb3XeF23,0.5704
mp-1196892,RbErP2O7,5.060300000000001
mp-1197850,YbFe5P3,0.0
mp-1199385,Er10In20Ni9,0.0
mp-1201758,KGe,1.3282999999999991
mp-1203699,Rb3IO5,1.348599999999999
mp-1205197,Dy3Ga2,0.0
mp-1205741,TiMnAs,0.0
mp-1205889,Yb2InAu2,0.0
mp-1207820,Y3NiGe2,0.0
mp-1208037,Tm4CdPt,0.0
mp-1209846,Pr3IrI3,0.0
mp-1213820,Cs2Mg2(MoO4)3,4.2644
mp-1216363,VCu3(SeS)2,1.0624999999999991
mp-1302128,Mn2V3NiO8,0.885899999999999
mp-13798,K2NaTlF6,3.6375
mp-1490,AlAu4,0.0
mp-14972,Ba3Sc(BO3)3,3.474199999999999
mp-14973,AgMo2P3O13,2.112
mp-18191,Tl2TeO6,0.0
mp-1934,LiZn,0.0
mp-19873,DySiRu,0.0
mp-21001,Y(GeRu)2,0.0
mp-22505,GdAl3Pd2,0.0
mp-23208,UCl3,0.0
mp-23434,Al2CuCl8,0.5594
mp-23701,CaB8H4O15,5.5185
mp-24291,ThH2,0.0
mp-27209,KTlF4,2.3213
mp-27638,NiI2,0.0
mp-28192,AuSCl5,1.7882
mp-28501,K2(NbCl3)3,1.094
mp-30419,USnAu2,0.0
mp-30954,GaI3,2.3854
mp-31508,KPb2Br5,3.0674
mp-398,ErGa3,0.0
mp-4767,Ce(SiOs)2,0.0
mp-505392,Ba3V4O13,2.945599999999999
mp-5152,La2SiO5,4.4965
mp-5330,LaAlSi2,0.0
mp-541735,K4Ti3S14,1.1896
mp-542587,Ge3Pt2,0.0
mp-546350,TmBi2BrO4,1.4283000000000001
mp-555414,Ba3Sb4O,0.3109
mp-555914,K2CaP2O7,4.8824000000000005
mp-557365,K6U5V2O23,1.7661000000000002
mp-559560,Nd2Ti3(ClO4)2,2.9455
mp-559941,Ba2V3BiO11,3.1891
mp-561,Nb3Se4,0.0
mp-561315,Cs3AlGe2O7,3.451599999999999
mp-562809,GdBi2BrO4,1.1517
mp-568424,CaAlAu,0.0
mp-582,CeIr2,0.0
mp-5936,La(SiRh)2,0.0
mp-6299,K2Mg2(SO4)3,5.5458
mp-645068,Ce2In3Ru2,0.0
mp-756440,Er2Pt2O7,1.5498999999999992
mp-7600,Th(FeSi)2,0.0
mp-771127,Rb4TiO4,2.8883
mp-862929,Li2PmAl,0.0
mp-864600,TbSnRh2,0.0
mp-864743,Yb2TlCd,0.0
mp-864938,Mg3Tl,0.0
mp-864954,MgMoN2,0.0
mp-865904,BeSiIr2,0.0
mp-867310,CeSnAu2,0.0
mp-867978,SmInRh2,0.0
mp-9646,La(PO3)3,4.6655000000000015
mp-1018022,NbInS2,0.0
mp-1019138,SmSbTe,0.0
mp-1019738,BaEu2O4,0.0
mp-1077228,PrInPt4,0.0
mp-1077854,Rh3(PbSe)2,0.0
mp-1078793,Th(GePt)2,0.0
mp-1079245,SmPdPb,0.0
mp-1079615,Ba2UCdO6,1.8841
mp-1080572,NdCoGe2,0.0
mp-1095502,TaCoGe,0.0
mp-1101,TmAs,0.0
mp-1101808,CeSbIr,0.008
mp-11733,Lu3InN,0.0
mp-1180046,NiS2,0.18730000000000002
mp-1184281,Eu2TlCd,0.0
mp-1187510,YbPmCd2,0.0
mp-1191266,BiIO4,2.3945
mp-1192485,Yb(Al5Os)2,0.0
mp-1199895,Ho3(Si3Ru)4,0.0
mp-1205836,Ba2LuMoO6,0.0
mp-1206006,HoU2S3O2,0.0
mp-1206263,TmMgAg,0.0
mp-1206312,SmCr2Si2C,0.0
